type,title,desc,time,nickname,avatar,liked_count,collected_count,comment_count,share_count,ip_location,last_modify_ts,note_url
normal,终于明白，贵有贵的道理,"之前用黑绷带没感觉它的好
就普普通通
而且味道太香也没有特别喜欢
只是觉得品牌在这 用着不会错
就一直在用
	
这两个月来，不知道什么原因
皮肤干燥敏感，还脱皮，很毛躁～
摸起来粗糙粗糙的
用了好多修护保湿精华，精油，面霜
一点效果都没有
兴起用了一次黑绷带第二天毛躁退下去了
最近2周都在用黑绷带
早晚都在用
皮肤细腻很多，干，脱皮，毛躁都没了
确实有点东西
希望能更新一个没有任何香味的版本
香味真的有点受不了
   ",1705627362000,小乖赚钱多多,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30u0ekh2vku005omubqqnoufcdb5anr0,79,17,111,4,上海,1707298048228,https://www.xiaohongshu.com/explore/65a9cee2000000002802c18d
normal,原来这才是黑绷带的真实面貌,     ,1703950833000,娇小赫,https://sns-avatar-qc.xhscdn.com/avatar/65bde40a11eaca8c290b5a8a.jpg,3163,379,996,433,,1707298048229,https://www.xiaohongshu.com/explore/659039f1000000001000df65
video,30➕姐姐真实测评｜为什么不推荐赫莲娜黑绷带,"本人是30➕以上的小姐姐了，混合偏油肌肤，坐标深圳。热爱买买买，专研护肤15年。贵妇面霜也有很多，经过我本人亲自购买使用和对比，我真的不推荐赫莲娜的黑绷带面霜。注意⚠️相对这个价位的贵妇面霜来说不推荐，但是不考虑性价比的同学可以忽略这条了。
1. 主打成份：玻色因，同系列品牌很多替代；
2. 使用感受：肤感不佳
3. 使用效果：不是太明显（本人胶原蛋白还可以）
4. 性价比：其他同价位的大牌贵妇面霜更值得选择
         
@美妆薯 @时尚薯 @薯条小助手 @视频薯 @小红书视频号",1648298700000,👑斯嘉丽Scarlett,https://sns-avatar-qc.xhscdn.com/avatar/620907005cb91fb5738eb1fd.jpg,545,355,317,92,,1707298048230,https://www.xiaohongshu.com/explore/623ef7bc000000000102e251
normal,争议很大的科颜氏的高保湿面霜,好像争议挺大的一瓶高保湿霜，有些朋友用了说油腻。可是我用了很久了，一直觉得肤感超级好，涂抹在脸上后，有一种水分子在脸上跳舞的感觉。而且吸收很快，也并不需要涂很多，一个小指甲盖大小就完全可以了。非常宝藏,1687438913000,Elise 何田田,https://sns-avatar-qc.xhscdn.com/avatar/63b251518957e35640b07318.jpg,76,17,39,11,,1707298111436,https://www.xiaohongshu.com/explore/6494464000000000110117ed
video,科颜氏全线面霜深度测评！买前避雷攻略！🌈,"①科颜氏高保湿面霜
②科颜氏果冻高保湿面霜
③科颜氏紫玻A面霜
④科颜氏金盏花面霜
 ",1651194000000,鹏鹏儿,https://sns-avatar-qc.xhscdn.com/avatar/5f33b4dcdab0e30001ff4934.jpg,4903,1650,334,394,,1707298111439,https://www.xiaohongshu.com/explore/6268ccfa0000000021036344
normal,在校大学生对科颜氏高保湿面霜的真实使用感,"本人是一个夏天混油 秋冬有点混干
在此之前我一直以为自己是个纯油皮
直到前几天我用了科颜氏的另一款适合油皮的果冻面霜
才发现我原来秋冬是有点混干的
因为我在夏天也使用过果冻面霜，上脸虽然不油腻，但皮肤也不会觉得干！！
但是这次我再用，发现这个面霜对于秋冬季节补水不太够了
皮肤后续会发干😳😳滋润度不够
下面说说这个高保湿面霜
我之前真的真的一直以为这款面霜只有干皮可以使用的
但直到我自己亲身体验了，才发现之前对她的误会真的是太大了！！
秋冬季节油皮也是完全OK的，不过用量上不要太多
不然可能会有点油，当然我自己没有试过用很多
我每次都只用一点点，所以完全OK！！
满足了秋冬季节油皮对面霜的需求
毕竟油皮虽然出油量的确比较多，但皮肤内里还是会缺水
使用感上我觉得这个面霜还是比较轻薄的，对于油皮或混油来说上脸不会有很大的负担
后续出油量也不是很多（当然我只在晚上使用过它🤭）
干皮和混干用它也是绝对绝对没问题的，因为它本来也就是主打干皮使用
只是意外被我发现油皮也OK哦（真的真的很惊喜😂😂😂😂😂😂）
我一般上脸都喜欢先在手上揉搓一下，反正就是融化一下
（也不知道是不是这么形容的🤣）
以上就是本人的真实感受
（每个人的肤质都不一样，仅供参考）
",1666499398000,Y_ksz,https://sns-avatar-qc.xhscdn.com/avatar/62cbfb51a2db42089a0e317c.jpg,241,53,50,10,,1707298111440,https://www.xiaohongshu.com/explore/6354c346000000001601a99a
normal,咱就是说它的神奇之处,去年买的总觉得她闷闭口似的，我本身就是痘痘肌，我就也不太爱用了，最近就是脸干不知道咋的了，就抽风每天晚上洗完脸不摸水乳只单乳化这个面霜摸脸上坚持使用真的太绝绝子了，不得不服，脸不但没在长闭口粉刺而且还有治闭口和消红的作用，姐妹们不妨可以试试像我说的晚上只摸科颜氏面霜就完事坚持几天你看看效果,1685257140000,富婆来耶,https://sns-avatar-qc.xhscdn.com/avatar/5d12f0cf00000000100157d1.jpg,70,9,15,4,,1707298111441,https://www.xiaohongshu.com/explore/6472fbb40000000012033ae6
normal,高保湿面霜死忠粉看过来啦～～,"🌸成份：
经典版：橄榄提取角鲨烷➕神经酰胺➕冰川保护蛋白
新版：巴西甘蔗高浓角鲨烷➕神经酰胺pro➕冰川保护蛋白
🌸质地：
经典版：冰激淋质地
新版：酸奶质地
总的来说，新版成份做了升级，更保湿、修复能力更强，#质地差别不大
欢迎莅临柜台试用[萌萌哒R][萌萌哒R]
    ",1693647572000,深圳科颜氏小英,https://sns-avatar-qc.xhscdn.com/avatar/64801d22042b3ce6ea3b5d05.jpg,237,108,192,68,,1707298111441,https://www.xiaohongshu.com/explore/64f302d4000000001e0238b5
normal,新版和旧版," 又到了秋季！科颜氏高保湿面霜不能错过~
这个秋冬季节的救星~
适合所有肤质~
新版升级以后，质地很轻薄~
成分也升级~
比之前更轻薄！
但是锁水保湿能力更强👍🏻！
强烈推荐！
  ",1694524864000,Miss静儿,https://sns-avatar-qc.xhscdn.com/avatar/5ea008442da6f20001adb35b.jpg,106,36,36,54,,1707298111442,https://www.xiaohongshu.com/explore/650065bf000000001d0153fe
normal,科颜氏高保湿面霜,这个真的不建议买大毫升的，一是用着用着里面容易进脏东西，因为每次都是用手扣，二这个涂脸上太滋润了油油的很厉害，我本身皮肤冬天有点干，晚上涂抹之后早上起床脸还是油油的[哇R]最后剩的适合冬天当护手霜来用，更合适,1702817954000,爱护肤的大白,https://sns-avatar-qc.xhscdn.com/avatar/5b470ad414de411ca5b83107.jpg,879,197,329,5,,1707298111443,https://www.xiaohongshu.com/explore/657ef0a2000000003801dcbf
normal,科颜氏高保湿面霜,"聚硅氧烷+角鲨烷主的一款保湿面霜，可以有效滋润干燥皮肤，特别适合混合性至干性皮肤使用
抗氧化成分较少，无香料，无酒精配方，敏感皮肤可以考虑使用
是一款性价比极高的产品 125ml超大碗
容易长痘皮肤最好不要使用。
了解自己皮肤 是否适合 不跟风
买对不买贵",1677405567000,小媛姐姐👄,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30s57g0qt327049sbhs7cvl5k15skff8,2055,502,1233,166,,1707298111443,https://www.xiaohongshu.com/explore/63fb2d7f000000001300319a
normal,听句劝！还是少买点便宜的新品男士面霜吧,"男士面霜/控油祛痘/油痘肌/大油皮/面霜推荐/面霜分享/面霜测评
真别看啥便宜就用啥，虽然贵的也不一定完全就是好的
但是也要求精不求多
选择合适自己的男士面霜才是关键
整理了几个用过感觉还挺靠谱的新品男士面霜跟大家分享一下
还不知道怎么选的兄弟们有福了，赶紧收藏码住了！！
——
爵威尔男士面霜【控油祛痘】
无限回购的一款面霜，冰淇淋质地上脸贼拉好吸收，pca锌和积雪草提取物有效抑制油脂，用了大半瓶脸上出油越来越少，痘痘也消了很多，小脸贼拉帅气
-
海洋至尊男士面霜【清爽保湿】
秋冬脸上起干皮就用它，含安诺因有效滋养肌肤，按压泵式设计上脸贼拉方便，早晚坚持使用，小脸一整个水润润的
-
科颜氏男士面霜【淡化细纹】
脸蛋子松垮有细纹的兄弟就用它，土豆泥质地上脸贼拉好吸收，含咖啡因提取物深层滋养肌肤，用了大半瓶脸蛋一整个紧致不少
-
斯维诗男士面霜【细化毛孔】
毛孔粗大真的巨巨巨影响颜值，酸奶质地上脸贼拉好吸收，含烟酰胺提取物有效细化毛孔，用了两个月毛孔得到有效改善
-
百雀羚男士面霜【平衡水油】
皮肤水油不平衡抹什么都吸收不了，成分嘎嘎温和一点儿不刺激，坚持使用皮肤摸起来滑滑的，也能更好的吸收其他护肤品了
-
",1704933982000,辞巫山,https://sns-avatar-qc.xhscdn.com/avatar/64a667c9bab61e0001713550.jpg,99,58,14,14,河南,1707298111444,https://www.xiaohongshu.com/explore/659f3a5e000000001200a68d
normal,🌈科颜氏面霜怎么选❓,"一提科颜氏面霜大家首先想到的应该都是他家的高保湿面霜吧，其实他家其他三款面霜也是棒棒的👍大家可以根据自己的肤质选择适合自己的[斜眼R]
🌸科颜氏高保湿面霜，它能让你的脸一天都感觉非常的滋润保湿，一点都不会拔干呢。里面的明星成分角鲨烷真的很nice哦，纯植物提取，不仅可以修护我们肌肤屏障，还可以防止我们的水分流失哦~混油皮用着也没压力，大干皮就直接冲行了！
🌱科颜氏高保湿啫喱霜，它真的能让油皮清爽的过夏天！控油力巨棒，还能补水，直接把外油内干搞定！清爽的啫喱质地，上脸会有微微的清凉感，一抹即开，瞬间化成水。无酒精无香精，会不会闷痘？No！不存在！油皮混油皮给我冲啊！
🏖️科颜氏金盏花精华水活霜，它是科颜氏明星家族金盏花系列的爆水霜，萃取上百片金盏花微粒，不含任何的酒精和人工色素。金盏花可以给皮肤消炎、减少皮肤的泛红，敏敏肌也是OK的哦（每个人的过敏原不一样，不是100%的哈）
🌻科颜氏多重紧致修颜霜，如果你觉得黑绷带超出了你的消费范围，那你选择这款抗衰老紫玻面霜准没错！里面含有10%的黑绷带同款核心成分“玻色因”，修复力相当强大了。里面添加了植物超A元，比视黄醇更加耐受，所以适合敏敏肌宝宝哦。里面的白桦茸多酚可以帮我们抗氧化、提亮、均匀肤色，白天也是可以使用的。
     ",1689576840000,中免集团青岛市内免税店,https://sns-avatar-qc.xhscdn.com/avatar/6391428291159249d887e270.jpg,818,378,47,144,,1707298111445,https://www.xiaohongshu.com/explore/64b4e587000000000f00c3da
normal,科颜氏新品轻乳霜测评,"科颜氏【紫玻A】轻乳霜
专为混油皮定制的抗老面霜
轻乳酪质地 好吸收 不闷痘
功效：细毛孔 亮肤色 紧轮廓
成分：
✓辛酰甘氨酸：抑制多余油脂分泌 阻止弹性胶原蛋白分解 减少皮肤细纹
✓高浓玻色因：促进胶原生成 紧致轮廓
✓弹力多肽：促胶原 促代谢
✓白桦茸多酚：清除自由基 对抗氧化
✓烟酰胺：抗糖抗氧 缩毛孔
✓腺苷：促进皮肤细胞代谢 使肌肤更紧致嘭弹
                   ",1691912534000,科颜氏柜姐尔滨小阿婷,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30naemef8m4605npknfrg92219amf6lo,71,29,47,14,,1707298111446,https://www.xiaohongshu.com/explore/64d88956000000001700dcb2
normal,理肤泉B5修复霜的5种正确✅打开方式～,"你会用B5修复霜吗❓正确用法来了✅
	
理肤泉B5修复霜网上评价两极分化，有人说它厚重闷痘长闭口，有人当它是救命稻草。我觉得只要Get到正确用法，这款值得拥有！
	
这篇就结合官fang的建议和我亲身用下来正确的使用方法和场景~
	
1️⃣春夏秋冬换季敏皮（乳化薄涂法）
	
敏感肌肤一换季就非常容易脸上掉皮，鼻翼泛红，起皮粗糙，痒，疼， 这种情况用B5薄涂敷在敏感泛红，干痒刺痛处，每次15-20分钟，连续3-4天 用洗脸巾擦拭掉用清水清洁，一般一周脸部状况就能够恢复正常
	
2️⃣淡化刚消下去痘痘的红印（点涂法）
	
刚消下去的痘留下来的印子，可以隔2-3天点涂一下， 15分钟洗掉，用几次就能看出来去红，印子会消掉，坚持用
⚠️注意： 不适合红zhong新生的痘痘， 会越闷越大， 要痘痘瘪下去了才用
	
3️⃣刷suan不耐受， 护肤品敏感刺激， 皮肤发炎（乳化薄涂法）
	
先挤出乳霜放在掌心，揉搓，轻轻按压上脸，拍在泛红敏感的区域，敷20分钟，干皮可以带着过夜，油皮建议洗掉
⚠️注意：不建议天天使用
	
4️⃣拯救口罩脸（薄涂）
	
敏肌口罩戴久了，口罩脱下来脸会泛红，甚至会有刺痛的可能，这个时候可以拿B5薄涂15分钟，脸部状态能得到明显缓解
	
5️⃣拯救手足唇部的干裂（厚敷）
	
手足和唇部的干裂起皮，用B5厚敷在皮肤干裂的口子上面，等于封闭住，基本用过几次皮肤干裂就能好转
	
⚠️以下提到的都是这款B5的雷区，大家注意看~
	
❌不要把它当面霜用，各种肤质都不建议长期薄涂或者天天使用，B5封闭性强，长期当面霜很容易闷出一脸的痘痘和闭口
	
⚠️局部使用为主，只有轻度敏肌偶尔日常维稳可以全脸薄涂以外，其他都不建议
	
⚠️B5没有祛痘功能，长了痘痘的脸都不适合全脸用，要不满脸闷痘，只适合点涂淡化新生痘印
	
⚠️使用期限6个月内，开封尽快使用，越到后面效果越差
     ",1652777860000,学医的雪琳,https://sns-avatar-qc.xhscdn.com/avatar/65099c987f8009af5f56acb7.jpg,82882,65426,2093,17841,,1707298155372,https://www.xiaohongshu.com/explore/62836384000000002103e0bc
normal,干敏肌闭眼入的理肤泉面霜！便宜大碗好用！,"✨理肤泉这个nutritic intense riche面霜真的是干敏肌福音！太好用了！
	
✨作为面霜却不油腻，保湿力度很强，有淡淡的茶香，易推开，吸收好，我本人就是干敏肌，对面霜的要求主要就是滋润，亲测干敏选手可以闭眼入！
	
✨这款面霜主打的就是深层滋润和补水保湿，虽然产品介绍说有助于收缩毛孔和提拉紧致，但是如果需要立竿见影或者强力的特殊功效（如美白或者去皱抗衰），个人觉得那还是绕路[暗中观察R]
	
✨一定要说的是理肤泉在英国买真的巨便宜！boots或者escentual常年有折扣，买下来一般在10-12磅，合人民币90样子，所以🇬🇧的宝子们放开冲！
  ",1650879988000,JUDY_X__SODA,https://sns-avatar-qc.xhscdn.com/avatar/634e4aaaacaab1609d847b83.jpg,259,191,21,22,,1707298155375,https://www.xiaohongshu.com/explore/62666df40000000021037f87
normal,千万不要买100ml的理肤泉b5,"如题，六月份买了一瓶40毫升的理肤泉b5修复霜，买到手发现最好开封6个月用完，就开始了和时间赛跑之路🏃🏻‍♂️🏃🏻‍♂️🏃🏻‍♂️🏃🏻‍♂️🏃🏻‍♂️
[星R]也走过一些弯路，我是一个油痘肌女孩，买它主要是为淡化痘印+维稳，一开始大面积厚敷
（很容易盖到新生痘痘 第二天直接闷熟了😣）
淡化痘印的效果因为很久没有连续观察所以不评判，在此期间因为感觉用起来还可以，双十一又购入了两瓶100ml的
噩梦到此开始，现在1月底了都！！！感觉40ml的像这辈子都用不完，好不容易感觉快用完了我打算用剩下的厚敷最后一次，结果剪开发现里面残余的够我厚敷四五六次[捂脸R][捂脸R]愁死了现在真的好愁100ml的要怎么在六个月内用完😭
   ",1705743834000,阿初,https://sns-avatar-qc.xhscdn.com/avatar/64693b610e31f798af2ba0e1.jpg,39,11,56,0,山东,1707298155377,https://www.xiaohongshu.com/explore/65ab95da000000002e000883
normal,近两年最爱用的面霜,理肤泉的面霜能够让我觉得是真的很保湿，适合干皮敏感肌，用过好多其他的牌子，还是理肤泉的最好用,1696729240000,盼盼,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30teu0qv844004a10lo33jesg9mj08e0,26,17,17,3,,1707298155378,https://www.xiaohongshu.com/explore/65220897000000001f03c45a
normal,10款敏感肌面霜测评｜亲测有效,"马上入冬啦～敏感肌特别是干皮面霜都备好了吗！！
今天给大家整理一下敏感肌的天菜面霜们～
都是自己用过觉得好的哟❣️
「详见图片啦～」
-
🔸理肤泉b5面霜
核心成分：泛醇、积雪草苷、乳木果油
使用感受：急救型面霜，有点干不适合日常使用，屏障受损、爆痘用来急救效果很好。有一定封闭性，所以一定要先乳化再上脸。我一般是局部点涂在痘痘上，两三天就消啦～
-
🔸赫莲娜黑绷带
核心成分：玻色因、玻尿酸、甘草酸二钾
使用感受：30%超高浓度玻色因，直接从肌底促进生成胶原蛋白，从根本上修护屏障。很绵密的质地，一推就开了，而且吸收超快👐
-
🔸一刻时光修护霜
核心成分：依克多因、白池花籽油、甘草酸二钾
使用感受：依克多因和白池花籽油强强联手，促进肌肤生成胶原，修护受损屏障，同时还有一定紧致抗老效果。冰淇淋凝霜质地，厚重但不黏腻，干皮冬日必备！有一定封闭性，所以一定是要先乳化再上脸，按压上脸满满的安全感❣️我自己从入秋开始就在用，海风吹都不怕了，到现在脸蛋都还是润润的👍超绝 今年冬天宠妃就是它啦💗
-
🔸海蓝之谜面霜
核心成分：神奇活性精萃、酸橙茶精粹
使用感受：冰淇淋质地，比较厚重，加了大量封闭性较强的保湿剂，所以上脸前要先在手心乳化噢👐添加的活性精萃，促进肌肤自愈能力！
-
🔸玉泽面霜
核心成分：神经酰胺、角鲨烷
使用感受：柔滑细腻的慕斯质地，超级好推开的，而且上脸很快就吸收了，完全不会黏腻，真的hin不错呀💕
-
🔸珂润面霜
核心成分：神经酰胺、蓝桉叶提取物
使用感受：内含神经酰胺成分，帮助皮肤修护屏障，强化角质层，补水效果也很棒🌵
-
🔸科颜氏高保湿霜
核心成分：角鲨烷、神经酰胺、冰川白
使用感受：干皮亲妈！含有角鲨烷和冰川白，保湿的同时辅助修护🙇‍♀️有点厚重，油皮不建议入哈～
-
🔸娇韵诗不死鸟面霜
核心成分：不死鸟精粹
使用感受：核心成分是不死鸟精粹，保湿效果杠杠的，白色的乳霜质地，柔软又轻薄
-
🔸珀莱雅源力面霜
核心成分：油橄榄叶提取物、神经酰胺
使用感受：上脸冰淇淋质地，一抹化水，吸收超级快，油敏痘肌也可以用，再也不用担心面霜厚重闷痘啦！
-
🔸适乐肤c霜
核心成分：神经酰胺、胆甾醇
使用感受：复配三重神经酰胺，帮助修护屏障。便宜大碗又好用，就是质地稍微有点厚重，蛮适合干皮冬天使用❣️
